date,Bank_of_Thailand,US_Federal_Reserve_System
2006-03-13,4.5,4.5
2006-03-14,4.5,4.5
2006-03-20,4.5,4.5
2006-03-22,4.5,4.5
2006-03-27,4.5,4.5
2006-03-28,4.5,4.75
2006-03-29,4.5,4.75
2006-04-03,4.5,4.75
2006-04-04,4.5,4.75
2006-04-12,4.75,4.75
2006-04-18,4.75,4.75
2006-04-19,4.75,4.75
2006-04-26,4.75,4.75
2006-05-10,4.75,5.0
2006-05-15,4.75,5.0
2006-05-16,4.75,5.0
2006-05-22,4.75,5.0
2006-05-23,4.75,5.0
2006-05-24,4.75,5.0
2006-05-30,4.75,5.0
2006-06-07,5.0,5.0
2006-06-13,5.0,5.0
2006-06-14,5.0,5.0
2006-06-20,5.0,5.0
2006-06-21,5.0,5.0
2006-06-27,5.0,5.0
2006-06-28,5.0,5.0
2006-07-03,5.0,5.25
2006-07-04,5.0,5.25
2006-07-05,5.0,5.25
2006-07-10,5.0,5.25
2006-07-11,5.0,5.25
2006-07-12,5.0,5.25
2006-07-18,5.0,5.25
2006-07-19,5.0,5.25
2006-07-25,5.0,5.25
2006-07-26,5.0,5.25
2006-07-31,5.0,5.25
2006-08-01,5.0,5.25
2006-08-08,5.0,5.25
2006-08-14,5.0,5.25
2006-08-16,5.0,5.25
2006-08-22,5.0,5.25
2006-08-23,5.0,5.25
2006-08-29,5.0,5.25
2006-09-04,5.0,5.25
2006-09-05,5.0,5.25
2006-09-06,5.0,5.25
2006-09-11,5.0,5.25
2006-09-12,5.0,5.25
2006-09-13,5.0,5.25
2006-09-20,5.0,5.25
2006-09-26,5.0,5.25
2006-09-27,5.0,5.25
2006-10-04,5.0,5.25
2006-10-10,5.0,5.25
2006-10-17,5.0,5.25
2006-10-18,5.0,5.25
2006-10-31,5.0,5.25
2006-11-07,5.0,5.25
2006-11-08,5.0,5.25
2006-11-13,5.0,5.25
2006-11-14,5.0,5.25
2006-11-15,5.0,5.25
2006-11-21,5.0,5.25
2006-11-22,5.0,5.25
2006-11-27,5.0,5.25
2006-11-28,5.0,5.25
2006-11-29,5.0,5.25
2006-12-04,5.0,5.25
2006-12-05,5.0,5.25
2006-12-06,5.0,5.25
2006-12-11,5.0,5.25
2006-12-13,5.0,5.25
2006-12-18,5.0,5.25
2006-12-19,5.0,5.25
2006-12-20,5.0,5.25
2006-12-27,5.0,5.25
2007-01-09,5.0,5.25
2007-01-10,5.0,5.25
2007-01-15,5.0,5.25
2007-01-16,5.0,5.25
2007-01-17,4.75,5.25
2007-01-22,4.75,5.25
2007-01-23,4.75,5.25
2007-01-24,4.75,5.25
2007-01-29,4.75,5.25
2007-01-31,4.75,5.25
2007-02-06,4.75,5.25
2007-02-07,4.75,5.25
2007-02-12,4.75,5.25
2007-02-13,4.75,5.25
2007-02-14,4.75,5.25
2007-02-21,4.75,5.25
2007-03-05,4.5,5.25
2007-03-06,4.5,5.25
2007-03-07,4.5,5.25
2007-03-12,4.5,5.25
2007-03-13,4.5,5.25
2007-03-14,4.5,5.25
2007-03-20,4.5,5.25
2007-03-26,4.5,5.25
2007-03-28,4.5,5.25
2007-04-03,4.5,5.25
2007-04-04,4.5,5.25
2007-04-10,4.5,5.25
2007-04-11,4.0,5.25
2007-04-16,4.0,5.25
2007-04-17,4.0,5.25
2007-04-18,4.0,5.25
2007-04-24,4.0,5.25
2007-05-08,4.0,5.25
2007-05-15,4.0,5.25
2007-05-16,4.0,5.25
2007-05-22,4.0,5.25
2007-05-23,3.5,5.25
2007-05-29,3.5,5.25
2007-05-30,3.5,5.25
2007-06-04,3.5,5.25
2007-06-13,3.5,5.25
2007-06-20,3.5,5.25
2007-06-26,3.5,5.25
2007-06-27,3.5,5.25
2007-07-03,3.5,5.25
2007-07-04,3.5,5.25
2007-07-10,3.5,5.25
2007-07-11,3.5,5.25
2007-07-18,3.25,5.25
2007-07-23,3.25,5.25
2007-07-24,3.25,5.25
2007-07-25,3.25,5.25
2007-07-30,3.25,5.25
2007-07-31,3.25,5.25
2007-08-01,3.25,5.25
2007-08-06,3.25,5.25
2007-08-07,3.25,5.25
2007-08-08,3.25,5.25
2007-08-13,3.25,5.25
2007-08-14,3.25,5.25
2007-08-21,3.25,5.25
2007-08-22,3.25,5.25
2007-08-28,3.25,5.25
2007-08-29,3.25,5.25
2007-09-03,3.25,5.25
2007-09-04,3.25,5.25
2007-09-05,3.25,5.25
2007-09-10,3.25,5.25
2007-09-11,3.25,5.25
2007-09-12,3.25,5.25
2007-10-02,3.25,4.75
2007-10-09,3.25,4.75
2007-10-10,3.25,4.75
2007-10-24,3.25,4.75
2007-10-30,3.25,4.75
2007-10-31,3.25,4.5
2007-11-05,3.25,4.5
2007-11-07,3.25,4.5
2007-11-12,3.25,4.5
2007-11-13,3.25,4.5
2007-11-14,3.25,4.5
2007-11-20,3.25,4.5
2007-11-21,3.25,4.5
2007-11-26,3.25,4.5
2007-11-27,3.25,4.5
2007-11-28,3.25,4.5
2007-12-03,3.25,4.5
2007-12-04,3.25,4.5
2007-12-05,3.25,4.5
2007-12-10,3.25,4.5
2007-12-11,3.25,4.25
2007-12-18,3.25,4.25
2008-01-09,3.25,4.25
2008-01-14,3.25,4.25
2008-01-15,3.25,4.25
2008-01-16,3.25,4.25
2008-01-21,3.25,4.25
2008-01-22,3.25,3.5
2008-01-29,3.25,3.5
2008-01-30,3.25,3.0
2008-01-31,3.25,3.0
2008-02-05,3.25,3.0
2008-02-11,3.25,3.0
2008-02-12,3.25,3.0
2008-02-13,3.25,3.0
2008-02-18,3.25,3.0
2008-02-19,3.25,3.0
2008-02-20,3.25,3.0
2008-02-26,3.25,3.0
2008-02-27,3.25,3.0
2008-03-03,3.25,3.0
2008-03-04,3.25,3.0
2008-03-05,3.25,3.0
2008-03-11,3.25,3.0
2008-03-12,3.25,3.0
2008-03-18,3.25,2.25
2008-03-19,3.25,2.25
2008-03-25,3.25,2.25
2008-03-26,3.25,2.25
2008-03-31,3.25,2.25
2008-04-08,3.25,2.25
2008-04-15,3.25,2.25
2008-04-16,3.25,2.25
2008-04-21,3.25,2.25
2008-04-22,3.25,2.25
2008-04-29,3.25,2.25
2008-04-30,3.25,2.0
2008-05-06,3.25,2.0
2008-05-07,3.25,2.0
2008-05-13,3.25,2.0
2008-05-14,3.25,2.0
2008-05-27,3.25,2.0
2008-05-28,3.25,2.0
2008-06-02,3.25,2.0
2008-06-03,3.25,2.0
2008-06-04,3.25,2.0
2008-06-10,3.25,2.0
2008-06-11,3.25,2.0
2008-06-17,3.25,2.0
2008-06-18,3.25,2.0
2008-06-23,3.25,2.0
2008-06-24,3.25,2.0
2008-06-30,3.25,2.0
2008-07-02,3.25,2.0
2008-07-07,3.25,2.0
2008-07-08,3.25,2.0
2008-07-14,3.25,2.0
2008-07-15,3.25,2.0
2008-07-21,3.5,2.0
2008-07-22,3.5,2.0
2008-07-23,3.5,2.0
2008-07-28,3.5,2.0
2008-07-29,3.5,2.0
2008-08-04,3.5,2.0
2008-08-11,3.5,2.0
2008-08-12,3.5,2.0
2008-08-13,3.5,2.0
2008-08-26,3.5,2.0
2008-08-27,3.75,2.0
2008-09-02,3.75,2.0
2008-09-09,3.75,2.0
2008-09-10,3.75,2.0
2008-09-17,3.75,2.0
2008-09-22,3.75,2.0
2008-09-23,3.75,2.0
2008-10-06,3.75,2.0
2008-10-14,3.75,1.5
2008-10-15,3.75,1.5
2008-10-20,3.75,1.5
2008-10-22,3.75,1.5
2008-11-05,3.75,1.0
2008-11-10,3.75,1.0
2008-11-12,3.75,1.0
2008-11-17,3.75,1.0
2008-11-18,3.75,1.0
2008-11-19,3.75,1.0
2008-11-24,3.75,1.0
2008-11-25,3.75,1.0
2008-11-26,3.75,1.0
2008-12-02,3.75,1.0
2008-12-03,2.75,1.0
2008-12-15,2.75,1.0
2008-12-17,2.75,0.125
2008-12-22,2.75,0.125
2008-12-23,2.75,0.125
2009-01-12,2.75,0.125
2009-01-13,2.75,0.125
2009-01-14,2.0,0.125
2009-01-20,2.0,0.125
2009-01-21,2.0,0.125
2009-02-03,2.0,0.125
2009-02-04,2.0,0.125
2009-02-10,2.0,0.125
2009-02-11,2.0,0.125
2009-02-16,2.0,0.125
2009-02-17,2.0,0.125
2009-02-18,2.0,0.125
2009-02-24,2.0,0.125
2009-02-25,1.5,0.125
2009-03-02,1.5,0.125
2009-03-03,1.5,0.125
2009-03-04,1.5,0.125
2009-03-16,1.5,0.125
2009-03-17,1.5,0.125
2009-03-18,1.5,0.125
2009-03-23,1.5,0.125
2009-03-25,1.5,0.125
2009-03-30,1.5,0.125
2009-03-31,1.5,0.125
2009-04-08,1.25,0.125
2009-04-15,1.25,0.125
2009-04-21,1.25,0.125
2009-04-28,1.25,0.125
2009-04-29,1.25,0.125
2009-05-06,1.25,0.125
2009-05-12,1.25,0.125
2009-05-13,1.25,0.125
2009-05-18,1.25,0.125
2009-05-20,1.25,0.125
2009-05-26,1.25,0.125
2009-05-27,1.25,0.125
2009-06-02,1.25,0.125
2009-06-03,1.25,0.125
2009-06-04,1.25,0.125
2009-06-09,1.25,0.125
2009-06-10,1.25,0.125
2009-06-17,1.25,0.125
2009-06-23,1.25,0.125
2009-06-24,1.25,0.125
2009-06-30,1.25,0.125
2009-07-13,1.25,0.125
2009-07-14,1.25,0.125
2009-07-15,1.25,0.125
2009-07-21,1.25,0.125
2009-07-22,1.25,0.125
2009-07-27,1.25,0.125
2009-08-11,1.25,0.125
2009-08-12,1.25,0.125
2009-08-18,1.25,0.125
2009-08-24,1.25,0.125
2009-08-25,1.25,0.125
2009-08-26,1.25,0.125
2009-09-01,1.25,0.125
2009-09-02,1.25,0.125
2009-09-09,1.25,0.125
2009-09-14,1.25,0.125
2009-09-15,1.25,0.125
2009-09-16,1.25,0.125
2009-09-29,1.25,0.125
2009-10-05,1.25,0.125
2009-10-06,1.25,0.125
2009-10-07,1.25,0.125
